ID,V1,V2,V3,V4,V5,V6,V7,V9,V10,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50
1000,1,0.687496475,0.245891491,0.45554471,0.55182464,0.442540824,0.46421478,0.228366439,-0.016052373,0.03713338,0.050455477,0.088310847,-0.018939868,0.070950816,0.202614066,0.165580468,-0.010680039,-0.026126419,-0.034825764,-0.032503371,0.233920422,-0.032133317,0.337982901,0.015353748,-0.008438523,0.00773448,-0.021068861,-0.008325895,-0.004170595,0.081189021,0.15884988,-0.010529813,-0.028866317,-0.016698643,-0.014909672,-0.020563578,-0.042434321,0.172130309,0.084982821,0.00466051,0.003957619,-0.017109704,-0.011313157,-0.037035059,0.106438899,0.101957504,0.028087342,-0.024940948
1001,0.687496475,1,0.164584333,0.468416631,0.495172864,0.458720632,0.460316019,0.419716413,-0.016920427,0.00389947,-0.008415265,0.026031758,-0.007736452,0.041614148,0.078289719,0.129085075,-0.00769457,-0.019942799,-0.027017661,-0.022631265,0.016984258,-0.023673126,0.038858104,-0.009661671,-0.025930333,-0.006795713,-0.024223181,-0.02608477,-0.011226436,0.022203553,0.054741373,-0.009149336,-0.021380117,-0.018265377,-0.020172678,-0.022907547,-0.016266167,-0.021470944,0.002618276,-0.017131334,-0.011329792,-0.012250583,0.00161003,-0.025474722,0.020187936,-0.000397043,-0.026887043,-0.026337765
1002,0.245891491,0.164584333,1,0.52068581,0.16820782,0.520048753,0.6489402,-0.010600609,-0.006202837,-0.01033912,-0.00852604,-0.007363582,-0.011373152,0.298249049,0.290576274,0.721629664,-0.002835958,-0.008471603,-0.009973106,-0.011940699,-0.01112096,-0.008736011,-0.00766039,-0.008396431,-0.009282917,-0.009872848,-0.009473811,-0.009715319,0.018832006,0.089650938,0.286583149,-0.00351487,-0.007880955,-0.006728025,-0.007439694,-0.008376553,-0.01731591,0.037361894,0.143467341,0.008510769,-0.004175778,-0.004648916,-0.008542759,-0.010500416,0.246160768,0.203047445,0.065521884,-0.007324412
1006,0.45554471,0.468416631,0.52068581,1,0.687546226,0.865308655,0.919797693,0.145964318,-0.019475876,0.100710886,0.06892355,0.15767868,0.012912101,0.186532652,0.256828762,0.451309015,-0.008762405,-0.005192062,-0.015944961,-0.017759371,0.09947369,-0.016745497,0.090297079,-0.003813425,0.033606833,-0.001559458,-0.018749335,-0.027187504,0.001131454,0.132539076,0.28266423,-0.007328525,0.005648349,-0.020255856,-0.020793329,-0.025584843,0.001902011,-0.006053586,0.062727302,-0.008451582,-0.012892763,-0.014342595,0.060065728,0.046370403,0.115680373,0.076435486,0.013265429,-0.028571613
1007,0.55182464,0.495172864,0.16820782,0.687546226,1,0.582092789,0.681956686,0.181433792,-0.024097124,0.113404042,0.157409175,0.158517641,0.006124684,0.101124791,0.267559236,0.217127609,-0.010841554,-0.010405474,0.032266464,-0.023383877,0.300320274,0.018736931,0.367410446,-0.000496518,0.036653585,-0.002228626,-0.021569918,-0.027232399,-0.013385609,0.04831697,0.086611223,0.007953171,0.011662118,-0.020145315,-0.018226201,-0.025131735,-0.011968412,-0.015763429,0.005642376,-0.013751578,-0.009345158,-0.016984663,0.051832613,0.141071483,0.030233866,-0.009440969,-0.03724544,-0.035059828
1008,0.442540824,0.458720632,0.520048753,0.865308655,0.582092789,1,0.834705268,0.131851348,-0.022270945,0.036280491,-0.002155686,0.15598305,0.041445159,0.189575644,0.282813296,0.451046607,-0.010019936,0.002716869,-0.010523296,0.003988714,0.134739753,-0.019508795,0.065671119,0.143542241,0.058426792,0.102870401,0.031696606,0.094806523,0.018954893,0.316320799,0.307550803,-0.008088522,0.010113787,0.019779516,0.04015615,0.026990607,0.091964181,0.059259873,0.135925481,0.097663842,0.083430158,-0.009973735,0.027285925,0.017172134,0.120317298,0.092798146,0.024348017,0.00789548
1009,0.46421478,0.460316019,0.6489402,0.919797693,0.681956686,0.834705268,1,0.129234792,-0.020139473,0.079750536,0.022761984,0.168483458,0.008569356,0.249637487,0.288242822,0.533558175,-0.009060964,-0.010054113,0.022877779,-0.020903427,0.133674474,0.009803049,0.13930384,0.001831154,0.0233882,0.004005015,-0.019280549,-0.025386483,0.001233731,0.120011709,0.265720588,-6.88E-05,0.007291439,-0.019276468,-0.017316854,-0.024087976,0.006079301,0.031805559,0.116732471,-0.005367507,-0.011241735,-0.006593057,0.033356347,0.116686065,0.148073404,0.099169683,0.018210075,-0.028954888
1011,0.228366439,0.419716413,-0.010600609,0.145964318,0.181433792,0.131851348,0.129234792,1,-0.012380518,0.037222447,0.014384986,0.020398912,-0.026534579,-0.004800783,0.008057145,0.049964018,-0.010688883,-0.018848655,-0.028934962,-0.013487776,-0.020992245,-0.026730344,-0.00538707,0.002327249,-0.02440719,-0.019476903,-0.006324509,-0.026908189,-0.008073755,-0.040269886,-0.041074877,-0.013282021,-0.029710708,-0.025231574,-0.027996441,-0.031351315,-0.022986916,-0.00368003,0.043755986,-0.027314898,-0.015738739,-0.01240059,-0.018300848,0.0040453,-0.03588642,-0.047365553,-0.06515681,-0.038176517
1012,-0.016052373,-0.016920427,-0.006202837,-0.019475876,-0.024097124,-0.022270945,-0.020139473,-0.012380518,1,0.016841932,-0.023026537,-0.022976681,-0.022019952,-0.002569525,-0.0037857,-0.013574182,-0.006106218,-0.017755251,-0.02147875,-0.024293858,-0.026767239,-0.018813599,-0.019774981,-0.014002437,-0.021510188,-0.015892824,-0.020822227,-0.020307723,-0.013239785,0.127302066,-0.00151438,-0.007576651,-0.013778268,-0.014449453,-0.016024771,-0.018195005,-0.023431555,-0.028663929,-0.053480525,-0.012116083,-0.008935805,-0.010010601,-0.018327515,-0.022633666,-0.021180286,-0.02977859,-0.022620462,-0.022349974
1014,0.03713338,0.00389947,-0.01033912,0.100710886,0.113404042,0.036280491,0.079750536,0.037222447,0.016841932,1,0.938778287,0.538551598,-0.041887485,0.654153395,0.471396117,0.360361894,0.209801974,-0.002802035,0.042032426,-0.019990789,0.540698737,0.011074443,0.079006966,-0.021165791,0.069786129,-0.020689114,-0.031465324,-0.034150704,-0.017293129,-0.000703866,0.212658428,0.226199351,0.463136073,-0.025801295,0.041618046,-0.034793681,0.078640557,0.022957751,0.097452829,0.002821412,-0.016498732,0.295892658,0.018959191,-0.021197578,0.282248567,0.012062483,0.195120318,-0.035369139
1015,0.050455477,-0.008415265,-0.00852604,0.06892355,0.157409175,-0.002155686,0.022761984,0.014384986,-0.023026537,0.938778287,1,0.496172818,-0.041085922,0.603280655,0.486288367,0.314464275,0.172723482,-0.002176175,0.039226605,-0.015830788,0.54050905,0.009233145,0.090225381,-0.023200225,0.066433381,-0.022184421,-0.02757544,-0.029023386,-0.016504585,0.017917786,0.110104,0.257123693,0.464753297,-0.021920218,0.040655479,-0.030210756,0.089348002,0.029286408,0.103630526,0.006243362,-0.014143529,0.283336498,0.040079601,-0.012719524,0.305010495,0.024451921,0.220546584,-0.030124023
1022,0.088310847,0.026031758,-0.007363582,0.15767868,0.158517641,0.15598305,0.168483458,0.020398912,-0.022976681,0.538551598,0.496172818,1,-0.044282646,0.218644608,0.62861553,0.186269393,-0.010337454,0.000251379,0.02159525,-0.004438323,0.618974266,0.032359783,0.272568962,-0.025713836,0.128657843,-0.027487763,-0.014043019,-0.031234237,-0.003408241,0.083384711,0.386550239,0.325449601,0.395983143,-0.019909511,0.003292171,-0.02832633,0.116808408,-0.001043611,0.106504531,0.00141179,-0.011220349,0.069048056,0.160857606,0.081712069,0.319006666,0.007167111,0.154205228,-0.029458341
1028,-0.018939868,-0.007736452,-0.011373152,0.012912101,0.006124684,0.041445159,0.008569356,-0.026534579,-0.022019952,-0.041887485,-0.041085922,-0.044282646,1,-0.00517899,-0.048049881,-0.013532283,-0.012407091,0.073941011,0.09168997,0.002930972,-0.048110364,0.062683579,-0.034237599,0.084703207,0.148699765,0.065929613,0.069546083,0.075963156,-0.004754859,-0.018208175,0.017503726,-0.014167452,-0.03224751,0.073898184,0.120361178,0.097690843,-0.021619988,0.000423713,-0.001876919,0.020506862,0.034411215,-0.009534185,-0.000532503,0.32420369,0.01372375,0.022510322,-0.002844242,0.101385364
1029,0.070950816,0.041614148,0.298249049,0.186532652,0.101124791,0.189575644,0.249637487,-0.004800783,-0.002569525,0.654153395,0.603280655,0.218644608,-0.00517899,1,0.245780899,0.522520229,-0.002186359,0.029095248,0.068530935,0.016293882,0.432840314,0.003302571,0.022328417,-0.010535108,0.147672295,-0.008945133,-0.007919643,-0.014521457,-0.001433593,0.024296505,0.129902948,0.028979064,0.374271993,-0.009614839,0.083066482,-0.012619293,-0.022399054,0.07759458,0.098680273,0.015484064,-0.007191914,0.368579469,-0.001559478,0.022295744,0.140519351,0.072619362,0.137309869,-0.00766173
1031,0.202614066,0.078289719,0.290576274,0.256828762,0.267559236,0.282813296,0.288242822,0.008057145,-0.0037857,0.471396117,0.486288367,0.62861553,-0.048049881,0.245780899,1,0.405526988,-0.012519043,-0.024599243,-0.00793866,-0.039000144,0.505098616,0.001455723,0.234908294,-0.033346578,0.002418711,-0.036886939,-0.03735692,-0.041366187,-0.006288155,0.12399448,0.252064774,0.404858333,0.328943734,-0.027736645,-0.015100884,-0.037420409,0.132524154,-0.005257092,0.132983933,-0.010380944,-0.015904291,0.037792405,0.023548135,-0.011663967,0.316269324,0.065602722,0.124845925,-0.041609115
1032,0.165580468,0.129085075,0.721629664,0.451309015,0.217127609,0.451046607,0.533558175,0.049964018,-0.013574182,0.360361894,0.314464275,0.186269393,-0.013532283,0.522520229,0.405526988,1,-0.00610717,0.003980923,0.021155949,-0.007693509,0.189814,0.006539348,-0.018968635,-0.016710059,0.029707542,-0.018906264,-0.017701752,-0.019694228,0.007242608,0.049152621,0.256418273,0.002397825,0.327711111,-0.014498223,0.018869764,-0.018050087,0.145184608,0.048403179,0.154957775,0.008683797,-0.008992441,0.105979225,-0.010062507,-0.022130027,0.473933771,0.133789202,0.084072321,-0.018260573
1033,-0.010680039,-0.00769457,-0.002835958,-0.008762405,-0.010841554,-0.010019936,-0.009060964,-0.010688883,-0.006106218,0.209801974,0.172723482,-0.010337454,-0.012407091,-0.002186359,-0.012519043,-0.00610717,1,-0.00811071,-0.009663519,-0.010989035,-0.013131184,-0.008464439,-0.01036617,-0.008386383,-0.009677664,-0.009925722,-0.008484785,-0.007693323,-0.005455281,-0.000554516,-0.002748909,-0.00341374,-0.007636235,-0.006521889,-0.007209716,-0.008188735,-0.019197603,-0.012052619,-0.009076097,0.005995307,-0.004045165,-0.004503876,-0.008320942,-0.010183128,-0.009529237,-0.013904111,0.138350723,-0.009530746
1036,-0.026126419,-0.019942799,-0.008471603,-0.005192062,-0.010405474,0.002716869,-0.010054113,-0.018848655,-0.017755251,-0.002802035,-0.002176175,0.000251379,0.073941011,0.029095248,-0.024599243,0.003980923,-0.00811071,1,0.659261905,0.343276456,0.016042964,0.544626221,-0.005780423,0.59051669,0.451992871,0.661757816,0.813047135,0.355190833,0.044970835,0.072793387,0.138393113,0.000143594,0.014391282,0.223805844,0.345578364,0.295444851,-0.005574654,0.026163107,0.001947673,0.413066868,0.413230811,0.014972559,0.039276918,0.309521804,0.104640749,0.218584922,0.184691639,0.427399903
1037,-0.034825764,-0.027017661,-0.009973106,-0.015944961,0.032266464,-0.010523296,0.022877779,-0.028934962,-0.02147875,0.042032426,0.039226605,0.02159525,0.09168997,0.068530935,-0.00793866,0.021155949,-0.009663519,0.659261905,1,0.147382274,0.040020562,0.914402847,-0.007491805,0.458576723,0.352157593,0.492187224,0.64417805,0.316899478,0.032436325,0.03852891,0.124681595,0.018893089,0.039175521,0.247795151,0.386371476,0.319401524,0.000273991,0.109692351,0.038356242,0.438965327,0.442521417,0.03090415,0.016611107,0.389852054,0.132889357,0.252459755,0.215522446,0.49510244
1038,-0.032503371,-0.022631265,-0.011940699,-0.017759371,-0.023383877,0.003988714,-0.020903427,-0.013487776,-0.024293858,-0.019990789,-0.015830788,-0.004438323,0.002930972,0.016293882,-0.039000144,-0.007693509,-0.010989035,0.343276456,0.147382274,1,0.009393858,0.126670495,-0.018101007,0.177867989,0.293465348,0.164496966,0.358492298,0.444650157,0.043321801,0.031311088,0.033601421,0.001231834,0.023170408,0.113510246,0.185576359,0.165954745,-0.002435922,0.024158159,0.011285917,0.123872239,0.107490976,-0.002919085,0.016131642,0.121774434,0.036270171,0.059807404,0.038290163,0.153141443
1039,0.233920422,0.016984258,-0.01112096,0.09947369,0.300320274,0.134739753,0.133674474,-0.020992245,-0.026767239,0.540698737,0.54050905,0.618974266,-0.048110364,0.432840314,0.505098616,0.189814,-0.013131184,0.016042964,0.040020562,0.009393858,1,0.026165991,0.655936425,-0.022320226,0.171013624,-0.018525201,0.009707654,-0.014798865,0.04940993,0.202383903,0.251589926,0.331937728,0.393227031,-0.023565225,0.023635935,-0.016327194,0.083273492,0.033876983,0.147273923,0.016084394,-0.011834334,0.144046641,0.079444794,0.052085296,0.223313253,0.00220924,0.074174206,-0.031035622
1040,-0.032133317,-0.023673126,-0.008736011,-0.016745497,0.018736931,-0.019508795,0.009803049,-0.026730344,-0.018813599,0.011074443,0.009233145,0.032359783,0.062683579,0.003302571,0.001455723,0.006539348,-0.008464439,0.544626221,0.914402847,0.126670495,0.026165991,1,-0.001011907,0.353665949,0.256288622,0.350396095,0.635033046,0.305371545,0.032971523,0.033862337,0.117465376,0.033318027,0.025449338,0.232764398,0.355721934,0.30089828,-0.00071244,0.050528907,0.017127862,0.557899197,0.56400619,0.012441776,0.03160105,0.365271511,0.143817454,0.292670113,0.246416783,0.560402338
1041,0.337982901,0.038858104,-0.00766039,0.090297079,0.367410446,0.065671119,0.13930384,-0.00538707,-0.019774981,0.079006966,0.090225381,0.272568962,-0.034237599,0.022328417,0.234908294,-0.018968635,-0.01036617,-0.005780423,-0.007491805,-0.018101007,0.655936425,-0.001011907,1,-0.003634504,0.016978085,0.018240055,0.013100186,0.004819594,-0.004447916,-0.008369076,0.216762159,-0.012205013,-0.027570917,-0.019139091,-0.019096254,0.012982893,-0.028991024,-0.043143539,0.000143632,-0.001631456,-0.002244651,-0.016372421,-0.028309321,-0.030650431,-0.027354854,-0.005442914,-0.021002389,-0.017209428
1042,0.015353748,-0.009661671,-0.008396431,-0.003813425,-0.000496518,0.143542241,0.001831154,0.002327249,-0.014002437,-0.021165791,-0.023200225,-0.025713836,0.084703207,-0.010535108,-0.033346578,-0.016710059,-0.008386383,0.59051669,0.458576723,0.177867989,-0.022320226,0.353665949,-0.003634504,1,0.24450005,0.950420158,0.677762808,0.635415609,0.072354523,0.08759938,0.250690041,-0.00842971,-0.015163121,0.205024375,0.311631475,0.273058746,-0.01036384,0.015954029,-0.019466694,0.656876305,0.664308473,0.003555462,0.028114092,0.076172089,0.012572549,0.203719498,0.154232213,0.371271403
1043,-0.008438523,-0.025930333,-0.009282917,0.033606833,0.036653585,0.058426792,0.0233882,-0.02440719,-0.021510188,0.069786129,0.066433381,0.128657843,0.148699765,0.147672295,0.002418711,0.029707542,-0.009677664,0.451992871,0.352157593,0.293465348,0.171013624,0.256288622,0.016978085,0.24450005,1,0.295456975,0.453568718,0.274383748,0.136167314,0.219026233,0.182440834,0.001753731,0.138787933,0.237895082,0.381546413,0.310636727,0.035462021,0.138484305,0.078015087,0.059392416,0.052317001,0.04422964,0.148361023,0.389843138,0.113005948,0.153904278,0.11902814,0.251392784
